the,1
first,375
book,175
of,34641
moses,502
called,589
genesis,1
11,66
in,12522
the,64011
beginning,75
god,2603
created,37
heaven,253
and,51313
earth.,193
12,66
earth,460
was,4462
without,388
"form,",3
void;,3
darkness,73
upon,2736
face,295
deep.,5
spirit,361
moved,51
waters.,25
13,66
"said,",1680
let,1506
there,2107
be,6884
light,175
light.,29
14,66
saw,526
"light,",58
that,12784
it,4940
good,558
divided,59
from,3641
darkness.,25
15,66
"day,",324
he,10280
night.,39
evening,36
morning,110
were,2717
day.,202
16,66
a,8176
firmament,15
midst,350
"waters,",48
divide,48
waters,203
17,65
made,1341
"firmament,",1
which,4395
under,389
above,189
so.,31
18,65
heaven.,80
second,152
19,65
gathered,259
together,275
unto,8987
one,1837
"place,",151
dry,61
land,1227
appear,43
110,65
earth;,78
gathering,11
seas,7
good.,54
111,97
bring,722
forth,756
"grass,",12
herb,14
yielding,7
"seed,",49
fruit,164
tree,111
after,1155
his,8456
"kind,",23
whose,314
seed,213
is,6866
"itself,",16
112,94
brought,856
"fruit,",22
kind,18
113,93
third,168
114,92
lights,7
to,13567
day,1163
night;,19
them,3855
for,8819
"signs,",9
"seasons,",5
"days,",136
years,364
115,89
give,864
116,86
two,796
great,888
lights;,1
greater,71
rule,58
lesser,3
night,152
stars,39
also.,54
117,84
set,685
"earth,",255
118,78
over,966
"night,",97
119,73
fourth,76
120,39
abundantly,19
moving,5
creature,25
hath,2244
"life,",95
fowl,20
may,1026
fly,22
open,111
121,70
"whales,",1
every,1236
living,118
"moveth,",2
"abundantly,",8
their,3931
winged,2
122,66
blessed,277
"them,",1607
"saying,",1331
"fruitful,",11
"multiply,",7
fill,48
"seas,",11
multiply,37
123,61
fifth,53
124,60
"cattle,",52
creeping,29
"thing,",84
beast,107
125,58
cattle,80
thing,404
creepeth,13
126,54
us,941
make,1050
man,2048
our,1165
"image,",30
likeness,31
have,3886
dominion,42
fish,26
"sea,",143
"air,",13
all,5457
127,52
so,1582
own,580
image,61
him;,213
male,42
female,13
them.,692
128,50
said,2293
replenish,2
subdue,8
moveth,6
129,46
"behold,",1121
i,8719
given,486
you,1369
bearing,20
"tree,",64
seed;,6
shall,9838
meat.,20
130,14
wherein,167
green,37
meat,231
131,45
had,1996
"made,",35
"and,",372
very,257
sixth,40
21,61
thus,717
heavens,72
"finished,",5
host,130
22,61
on,1970
seventh,114
ended,8
work,312
made;,10
rested,18
made.,19
23,61
sanctified,54
because,1200
24,61
these,1176
are,2930
generations,46
when,2832
they,7304
"created,",4
lord,5123
"heavens,",38
25,61
plant,34
field,140
before,1767
grew,14
not,6041
caused,94
rain,61
till,169
ground.,40
26,61
but,3952
went,1332
up,1959
mist,3
watered,10
whole,229
27,61
formed,30
dust,69
"ground,",55
breathed,2
into,2012
nostrils,8
breath,34
life;,32
became,106
soul.,53
28,61
planted,30
garden,34
eastward,19
eden;,2
put,908
whom,756
formed.,1
29,61
out,2511
ground,77
grow,30
pleasant,52
"sight,",62
food;,1
life,244
also,1556
"garden,",11
knowledge,114
evil.,48
210,61
river,110
eden,11
water,217
garden;,5
thence,88
"parted,",2
four,295
heads.,10
211,83
name,709
pison,1
compasseth,5
"havilah,",5
where,392
gold;,23
212,83
gold,172
bdellium,1
onyx,7
stone.,17
213,82
gihon,3
same,302
ethiopia.,2
214,78
hiddekel,1
goeth,128
toward,346
east,110
assyria.,20
euphrates.,7
215,78
took,742
"man,",424
him,3588
dress,9
keep,352
it.,427
216,75
commanded,383
thou,5268
mayest,113
freely,14
eat,527
217,72
"evil,",78
shalt,1616
eatest,3
thereof,394
surely,279
die.,71
218,68
should,783
alone;,19
will,3785
an,1699
help,102
meet,128
him.,817
219,66
"field,",97
air;,4
adam,20
see,504
what,978
would,443
call,186
whatsoever,151
"creature,",2
thereof.,138
220,42
gave,464
names,68
field;,24
found,369
221,61
deep,48
sleep,48
fall,203
"adam,",9
slept,43
"ribs,",1
closed,8
flesh,255
instead,39
thereof;,60
222,60
"rib,",4
taken,301
"woman,",83
her,1590
man.,93
223,55
this,2643
now,1175
bone,12
my,4368
"bones,",15
she,970
224,48
therefore,1089
leave,113
father,611
"mother,",75
cleave,29
wife,195
flesh.,39
225,47
both,352
"naked,",13
"wife,",119
ashamed.,17
31,60
serpent,19
more,559
subtil,3
than,481
any,904
"yea,",322
ye,3880
32,60
woman,249
"serpent,",10
we,1815
trees,107
33,60
"it,",601
neither,876
touch,46
lest,233
34,60
die,161
35,60
doth,207
know,719
"thereof,",313
then,2140
your,1778
eyes,312
"opened,",20
as,3511
"gods,",90
knowing,49
36,59
"food,",11
"eyes,",130
desired,44
"wise,",40
did,940
"eat,",63
husband,78
with,6006
her;,39
eat.,47
37,59
knew,165
naked;,3
sewed,2
fig,41
leaves,12
"together,",150
themselves,285
aprons.,1
38,59
heard,584
voice,344
walking,28
cool,2
hid,112
presence,88
amongst,2
garden.,2
39,58
"him,",2034
art,480
310,58
thy,4600
"afraid,",39
myself.,14
311,68
who,950
told,276
thee,1910
wast,64
naked,27
hast,1061
eaten,73
whereof,72
shouldest,73
312,67
gavest,34
"me,",1195
me,2195
313,66
done,448
beguiled,5
314,64
"this,",109
cursed,64
belly,28
"go,",146
days,602
315,64
enmity,6
between,232
bruise,6
"head,",85
heel.,1
316,61
greatly,62
sorrow,48
conception;,1
children;,14
desire,92
"husband,",25
thee.,495
317,60
hearkened,77
"thee,",1211
sake;,7
318,55
thorns,28
thistles,3
thee;,209
319,49
sweat,2
"bread,",91
return,198
ground;,20
"art,",11
return.,11
320,34
wife’s,11
eve;,1
mother,138
living.,17
321,43
coats,9
"skins,",14
clothed,70
322,39
become,135
"us,",303
evil,476
"now,",146
"hand,",303
take,858
live,133
ever,224
323,35
sent,657
"eden,",6
whence,72
taken.,16
324,34
drove,11
man;,47
placed,14
at,1566
"cherubims,",12
flaming,9
sword,205
turned,265
"way,",144
way,432
life.,78
41,53
eve,2
wife;,27
"conceived,",23
bare,175
"cain,",9
gotten,21
lord.,706
42,53
again,415
brother,216
abel.,2
abel,10
keeper,20
"sheep,",68
cain,11
tiller,1
43,53
process,5
time,459
came,1995
"pass,",396
offering,441
44,53
"abel,",4
firstlings,6
flock,58
fat,104
respect,32
45,53
respect.,1
"wroth,",18
countenance,32
fell.,2
46,53
why,277
wroth,27
fallen,62
47,51
if,1588
doest,38
"well,",29
accepted,23
sin,303
lieth,56
door.,11
"desire,",11
48,51
talked,41
rose,128
against,1664
"brother,",98
slew,191
49,50
am,848
brother’s,34
410,50
blood,304
crieth,16
411,56
opened,108
mouth,249
receive,167
hand;,54
412,54
tillest,1
henceforth,31
yield,28
strength;,5
fugitive,2
vagabond,3
413,53
"lord,",1709
punishment,25
can,233
bear.,3
414,51
driven,46
hid;,2
come,1635
findeth,25
slay,114
me.,528
415,50
whosoever,181
slayeth,5
vengeance,35
sevenfold.,2
mark,25
finding,10
kill,110
416,50
dwelt,216
"nod,",1
eden.,1
417,46
enoch,10
builded,36
"city,",268
"son,",309
enoch.,1
418,43
born,134
irad,2
begat,225
mehujael,2
methusael,2
lamech.,2
419,40
lamech,7
wives,70
"adah,",1
other,431
zillah.,1
420,32
adah,6
jabal,1
such,244
dwell,325
"tents,",26
cattle.,12
421,38
jubal,1
handle,11
harp,13
organ.,2
422,35
"zillah,",2
"tubalcain,",1
instructer,1
artificer,1
brass,46
iron,51
sister,67
tubalcain,1
naamah.,1
423,30
"wives,",49
hear,421
voice;,22
"lamech,",3
hearken,132
speech,35
slain,134
"wounding,",1
young,285
hurt.,13
424,28
avenged,16
"sevenfold,",2
truly,39
seventy,61
425,25
again;,17
seth,6
"god,",1027
"she,",9
appointed,108
another,276
slew.,1
426,23
"seth,",2
son;,26
enos,6
began,173
men,1184
51,47
adam.,1
52,47
them;,270
created.,4
53,47
lived,51
